"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"
"199"	"ENSG00000178449"	217.33	313.008	227.131	304.64	315.733	24.3855	288.849	62.5854
"200"	"ENSG00000112096"	22.5533	49.4469	20.8952	16.6391	20.3494	3.0921	51.0337	9.08854
"201"	"ENSG00000079246"	22.5578	13.8672	8.78718	25.2703	29.0266	6.33362	15.8571	14.6876
"202"	"ENSG00000184584"	51.9405	6.58211	83.4203	16.9111	21.2438	1.23492	2.35553	6.27195
"203"	"ENSG00000174576"	0.175649	0.149394	0.317786	2.77456	2.52317	1.29121	0.0425074	0.710259
"204"	"ENSG00000153291"	3.33005	6.01942	2.39941	1.78091	0.905086	0.358209	5.11307	0.982304
"205"	"ENSG00000205744"	5.89261	0.507372	18.4037	0	0	0.0360283	0.435211	15.9636
"206"	"ENSG00000014138"	8.92469	4.843965	8.26502	9.16447	11.279735	3.237419	2.9705845	4.05757
"207"	"ENSG00000204501"	0.0406262580939158	0.0428667616915789	0.0243562641915789	0.0346338969842105	0.0302007105578947	0.0131968353373684	0.0220879898421053	0.328980954519474
"208"	"ENSG00000124942"	31.53866	24.0704	24.8578	22.21094	26.70448	2.494663	16.5843	5.13236
"209"	"ENSG00000101680"	0.0441137	0	0.0670814	0.0154606	0.00852338	0	0.00482044	0.176595
"210"	"ENSG00000168454"	0.0413348	0.0640026	0.0992861	0.114888	0.11822	0.0487124	0	0
"211"	"ENSG00000185933"	0	0	0	0	0.0511104	0	0.0573312	1.65418
"212"	"ENSG00000112494"	0.2651241	0.0731599	0.0997909	0.03912625	0.12001135	0.13284	0.1016489	1.68069
"213"	"ENSG00000174669"	4.786	5.45984	3.83989	6.92334	6.0695	3.71874	3.36485	2.75267
"214"	"ENSG00000171222"	77.382	90.5787	171.664	148.74	140.53	17.0823	67.8437	52.8812
"215"	"ENSG00000168939"	0.413618	0.0137872	0.157005	0.107726	0.259432	0.0321072	0.0342269	0.0338134
"216"	"ENSG00000137752"	12.8849	0.755281	26.2881	0.0773043	0.159916	0.0332172	0.618648	2.20773
"217"	"ENSG00000186787"	0	0	0	0	0	0	0	0.0894457875
"218"	"ENSG00000166889"	14.3215	5.86065	8.72167	9.91403	11.9837	2.3051	3.93414	2.7077
"219"	"ENSG00000184838"	3.17437	0.0277296	1.87422	1.29895	3.61139	0.124874	0	0.763952
"220"	"ENSG00000095739"	3.25261	0.576335	2.9922	1.02724	1.89482	0.184343	0.393887	0.834398
"221"	"ENSG00000172724"	0.0271461428571429	0.260127714285714	0.665437285714286	0	0	0	0.430579857142857	0.377321428571429
"222"	"ENSG00000108100"	39.1889	17.0746	16.6092	11.0468	14.8912	1.94292	13.6233	6.33508
"223"	"ENSG00000007376"	14.8556	4.98378	18.4933	15.5138	16.6469	1.23199	3.63053	3.23507
"224"	"ENSG00000163515"	0.34563	11.31331	2.722487	0	0	0.123688	21.5555	1.38778666666667
"225"	"ENSG00000175003"	0	0.0898269	0	0.0553978	0	0.0239958	0.0768042	0.078458
"226"	"ENSG00000198682"	9.56935	2.53756	7.5219	5.06413	5.93884	0.693231	2.03968	3.34996
"227"	"ENSG00000137077"	20.0672923777778	1.24900486433333	38.948229	0	0	0	2.31983222222222	4.90826666666667
"228"	"ENSG00000078043"	9.026	4.06393333333333	3.92335666666667	3.9257	4.33476	1.07580566666667	3.5707136	3.69303733333333
"229"	"ENSG00000174851"	25.4766	16.4301	34.0656	20.8836	32.6296	3.4534	12.9317	5.80933
"230"	"ENSG00000204922"	36.0471	74.0259	63.1391	63.308	61.2744	5.46717	64.8208	20.1739
"231"	"ENSG00000196600"	0.009835625	0.00431809375	0.00562178125	0.00373070625	0.0154572625	0.04064206875	0.0097824125	0.28336659375
"232"	"ENSG00000136699"	2.17245175	1.27934175	2.26174325	3.020645	2.801995	0.92552150056	0.91120625	0.4499075
"233"	"ENSG00000204669"	0	0	0	2.92781	0	0	0	2.11769
"234"	"ENSG00000152527"	7.02795	0.223027	1.36795	13.7903	15.9407	2.07318	0.269022	3.11581
"235"	"ENSG00000133313"	32.96535	7.564805	43.36965	6.0488	6.791989	1.348405002695	5.53945	6.8102
"236"	"ENSG00000134438"	0.12405	0	0.103979	0.0301466	0	0	0.0804734	0.082458
"237"	"ENSG00000172785"	13.1318	8.76315	5.52969	11.4079	10.7229	0.9129	8.59762	2.68331
"238"	"ENSG00000101605"	0.31205	61.8189266666667	1.78278	0.242348333333333	0.143356633333333	0.332290333333333	52.2903553333333	0.841909666666667
"239"	"ENSG00000154856"	20.29395	0.2758245	7.09515	0.794185	2.337725	0.15373985	0.3819005	0.267088
"240"	"ENSG00000179580"	0.0771722	0	0.0931192	0.37949	0.397369	0.519213	0.0491494	1.89416
"241"	"ENSG00000154889"	7.01519	0.632396	5.76641	2.09666	3.01432	0.145864	1.03953	1.1478
"242"	"ENSG00000055950"	42.316	45.2954	43.2751	40.7366	49.8012	5.18452	33.8644	13.3446
"243"	"ENSG00000095917"	5.02744033333333	0.9707305	7.766267	0	0	0.0172401333333333	1.498366	0.46007
