"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"	"expression_1.x"	"expression_2.x"	"expression_3.x"	"expression_1.y"	"expression_2.y"	"expression_3.y"
"67"	"ENSMUSG00000000562"	0.485554	0.0925826666666667	0.33666081	0.124862666666667	0.0614497	0.125937	0.0070594	2.00095666666667	3.60539	3.1987	2.96344	3.60539	3.1987	2.96344
"68"	"ENSMUSG00000000563"	41.5218066666667	55.9593521666667	29.0317881666667	33.8147695	45.9069391666667	2.8321855	67.7480355	9.45041833333333	10.51794	10.80375	10.4306	10.51794	10.80375	10.4306
"69"	"ENSMUSG00000000567"	20.2205	0.358998	7.2302	5.29112	9.76705	7.76267	0.558319	36.6889	7.72131333333333	7.54018666666667	7.51709333333333	7.72131333333333	7.54018666666667	7.51709333333333
"70"	"ENSMUSG00000000568"	15.4327754545455	3.70601209090909	8.92389218181818	18.5647611818182	22.1671765454545	1.98582599090909	2.71027909090909	4.14678790909091	6.57633666666667	6.42299666666667	6.12879333333333	6.57633666666667	6.42299666666667	6.12879333333333
"71"	"ENSMUSG00000000581"	13.889084	3.8400306	5.0803384	1.373272	4.6430888	0.2839236	4.924282	1.259684	6.47921	6.53629333333333	6.48359	6.47921	6.53629333333333	6.48359
"72"	"ENSMUSG00000000594"	30.9308	3.41092	44.6756	2.18506	3.13535	0.488955	4.58541	3.40875	7.47090333333333	7.30294	7.40562333333333	7.47090333333333	7.30294	7.40562333333333
"73"	"ENSMUSG00000000600"	2.24180108333333	0.858052875	1.10610706666667	1.1926152	1.10319015	0.187421991666667	0.721272025	1.415407725	5.63806	6.210104	6.369134	5.63806	6.210104	6.369134
"74"	"ENSMUSG00000000605"	2.21795598	1.31061572	1.32849087	0.437631	0.70340494	0.23688065	1.41051522	0.93588366	8.57554	8.86178	8.93957	8.57554	8.86178	8.93957
"75"	"ENSMUSG00000000627"	0.32055315	0.022504525	0.1902185	0.01798485	0.01501355	0.0052	0.019436475	0.5199855	5.46637	5.13641	5.14849	5.46637	5.13641	5.14849
"76"	"ENSMUSG00000000628"	5.64777	18.744775	2.510225	2.44149	1.5171717	0.466676	21.09545525	3.278899525	7.02045	6.58835	6.62501	7.02045	6.58835	6.62501
"77"	"ENSMUSG00000000631"	0.755739141666667	2.97400018333333	0.9520864875	0.628651410791667	0.6807559875	0.0637187416666667	1.5469580375	0.147267204166667	8.09506	8.1358	8.19999	8.09506	8.1358	8.19999
"78"	"ENSMUSG00000000632"	0.0716112555555556	0.0288878	0.0652759222222222	0.0460183333333333	0.0676264444444444	0.506954444444444	0.0537356	3.04500811111111	5.85724	5.67843333333333	5.78158666666667	5.85724	5.67843333333333	5.78158666666667
"79"	"ENSMUSG00000000686"	0.651153333333333	0.0488853333333333	0.763253333333333	0.1076835	0.062989	0.0054925	0.0233747	0.327830666666667	3.58237	3.64007	3.664325	3.58237	3.64007	3.664325
