ID_REF	VALUE
1416317_a_at	6.18785
1416318_at	6.05854
1416319_at	9.22408
1416320_at	6.66435
1416321_s_at	10.5979
1416322_at	8.34057
1416323_at	6.45483
1416324_s_at	7.28689
1416325_at	2.57008
1416326_at	12.4479
1416327_at	10.0521
1416328_a_at	11.4794
1416329_at	10.2105
1416330_at	11.2815
1416331_a_at	9.54818
1416332_at	7.16389
1416333_at	6.28286
1416334_at	5.55719
1416335_at	10.0175
1416336_s_at	8.18419
1416337_at	9.5646
1416338_at	8.30723
1416339_a_at	8.37539
1416340_a_at	9.15112
1416341_at	8.71145
1416342_at	8.6312
1416343_a_at	7.51355
1416344_at	10.663
1416345_at	7.59241
1416346_at	6.28728
1416347_at	6.79496
1416348_at	4.60464
1416349_at	8.09841
1416350_at	5.78648
1416351_at	8.42269
1416352_s_at	9.36054
1416353_at	7.12
1416354_at	7.89439
1416355_at	4.40874
1416356_at	7.68664
1416357_a_at	9.05024
1416358_at	6.78807
1416359_at	8.97943
1416360_at	6.667
1416361_a_at	6.57751
1416362_a_at	7.24231
1416363_at	6.19614
1416364_at	10.7144
1416365_at	11.9895
1416366_at	10.0739
1416367_at	8.54597
1416368_at	8.44132
1416369_at	8.85514
1416370_at	6.94178
1416371_at	11.2895
1416372_at	8.67092
1416373_at	8.15118
1416374_at	5.67737
1416375_at	6.46623
1416376_at	6.1796
1416377_at	6.34902
1416378_at	6.23305
1416379_at	6.4456
1416380_at	4.84479
1416381_a_at	9.1618
1416382_at	8.80893
1416383_a_at	7.76957
1416384_a_at	10.2328
1416385_a_at	9.46582
1416386_a_at	6.3447
1416387_at	8.23631
1416388_at	5.61047
1416389_a_at	8.17453
1416390_at	6.8471
1416391_at	6.81172
1416392_a_at	11.3574
1416393_at	9.74074
1416394_at	9.77876
1416395_at	8.66831
1416396_at	4.57805
1416397_at	6.58066
1416398_at	4.34534
1416399_a_at	8.77147
1416400_at	6.51634
1416401_at	9.43658
1416402_at	6.78474
1416403_at	5.653
1416404_s_at	12.8232
1416405_at	12.9258
1416406_at	8.70854
1416407_at	8.86647
1416408_at	8.55393
1416409_at	7.25266
1416410_at	6.79957
1416411_at	8.84687
1416412_at	7.35911
1416413_at	2.62078
1416414_at	8.48873
1416415_a_at	10.885
1416416_x_at	9.67832
1416417_a_at	10.1858
1416418_at	8.40837
1416419_s_at	9.5942
1416420_a_at	13.2781
1416421_a_at	7.67245
1416422_a_at	7.96944
1416423_x_at	7.27599
1416424_at	7.94889
1416425_at	7.80745
1416426_at	10.1297
1416427_at	11.2591
1416428_at	7.98582
1416429_a_at	9.29701
1416430_at	9.40126
1416431_at	8.97986
1416432_at	6.23546
1416433_at	6.1337
1416434_at	4.40274
1416435_at	7.78974
1416436_a_at	6.11859
1416437_a_at	5.11201
1416438_at	9.43132
1416439_at	7.41312
1416440_at	11.0571
1416441_at	9.71224
1416442_at	10.7228
1416443_a_at	7.50407
1416444_at	3.28005
1416445_at	9.23209
1416446_at	9.8226
1416447_at	9.45752
1416448_at	7.18976
1416449_x_at	5.8549
1416450_at	6.24339
1416451_s_at	6.95662
1416452_at	10.9072
1416453_x_at	12.6773
1416454_s_at	13.5293
1416455_a_at	9.03111
1416456_a_at	4.12606
1416457_at	8.1997
1416458_at	7.3855
1416459_at	4.79846
1416460_at	3.10998
1416461_at	9.90673
1416462_at	9.12192
1416463_at	5.32359
1416464_at	4.47535
1416465_a_at	10.5017
1416466_at	9.84668
1416467_at	9.03111
1416468_at	10.1436
1416469_at	8.59219
1416470_a_at	9.48317
1416471_at	9.09275
1416472_at	9.65174
1416473_a_at	8.43443
1416474_at	6.78259
1416475_at	6.78436
1416476_a_at	10.2481
1416477_at	9.28361
1416478_a_at	10.2343
1416479_a_at	9.18857
1416480_a_at	9.88137
1416481_s_at	7.36462
1416482_at	7.33695
1416483_at	9.48723
1416484_at	7.4492
1416485_at	9.85912
1416486_at	8.61697
1416487_a_at	6.43844
1416488_at	8.27687
1416489_at	7.72395
1416490_at	2.86131
1416491_at	7.25023
1416492_at	5.2338
1416493_at	9.86677
1416494_at	9.70446
1416495_s_at	10.3574
1416496_at	10.4779
1416497_at	8.95343
1416498_at	10.8761
1416499_a_at	10.3108
1416500_at	9.63938
1416501_at	7.85316
1416502_a_at	7.56903
1416503_at	9.05333
1416504_at	5.59633
1416505_at	11.6408
1416506_at	10.3734
1416507_at	4.25487
1416508_at	10.0539
1416509_at	10.3307
1416510_at	8.95969
1416511_a_at	7.92221
1416512_at	6.78092
1416513_at	8.53481
1416514_a_at	9.26603
1416515_at	3.7642
1416516_at	5.2275
1416517_at	6.86845
1416518_at	4.06913
1416519_at	12.5894
1416520_x_at	11.7945
1416521_at	9.88342
1416522_a_at	10.4799
1416523_at	5.01429
1416524_at	10.7144
1416525_at	7.96524
1416526_a_at	10.1364
1416527_at	5.12369
1416528_at	9.97892
1416529_at	11.0625
1416530_a_at	10.8885
1416531_at	10.3884
1416532_at	8.3342
1416533_at	7.9564
1416534_at	8.36194
1416535_at	7.92973
1416536_at	6.58148
1416537_at	6.76333
1416538_at	7.18399
1416539_at	6.39877
1416540_at	8.0398
1416541_at	6.19375
1416542_at	7.66283
1416543_at	9.45572
1416544_at	7.03124
1416545_at	7.53597
1416546_a_at	12.5585
1416547_at	10.1805
1416548_at	7.02834
1416549_at	6.75481
1416550_at	6.13041
1416551_at	11.0715
1416552_at	5.12241
1416553_at	8.04213
1416554_at	8.65285
1416555_at	9.07675
1416556_at	10.1239
1416557_a_at	7.07702
1416558_at	4.32149
1416559_at	6.76988
1416560_at	4.39886
1416561_at	2.46684
1416562_at	4.11235
1416563_at	7.27838
1416564_at	6.60199
1416565_at	10.8284
1416566_at	8.51185
1416567_s_at	10.7278
1416568_a_at	8.38111
1416569_at	6.76587
1416570_s_at	7.40062
1416571_at	4.38574
1416572_at	7.2064
1416573_at	5.51904
1416574_at	7.27579
1416575_at	4.78008
1416576_at	9.90494
1416577_a_at	10.8748
1416578_at	8.19523
1416579_a_at	7.38964
1416580_a_at	9.74142
1416581_at	7.54559
1416582_a_at	7.72924
1416583_at	7.68962
1416584_at	6.70474
1416585_at	7.42036
1416586_at	6.50227
1416587_a_at	6.83712
1416588_at	5.59134
1416589_at	14.2401
1416590_a_at	9.28995
1416591_at	9.06132
1416592_at	6.27209
1416593_at	5.11085
1416594_at	7.25119
1416595_at	7.42598
1416596_at	6.45918
1416597_at	6.0474
1416598_at	7.9375
1416599_at	5.78967
1416600_a_at	8.46396
1416601_a_at	3.69337
1416602_a_at	4.98847
1416603_at	11.6856
1416604_at	9.69362
1416605_at	7.63053
1416606_s_at	9.01629
1416607_at	8.81535
1416608_a_at	9.89161
1416609_at	8.71028
1416610_a_at	7.91238
1416611_at	8.16298
1416612_at	7.05264
1416613_at	3.81159
1416614_at	10.7639
1416615_at	8.81466
1416616_s_at	8.37669
1416617_at	7.20206
1416618_at	6.68823
1416619_at	9.08857
1416620_at	6.85247
1416621_at	7.89294
1416622_at	5.58295
1416623_at	8.422
1416624_a_at	13.5868
1416625_at	11.8399
1416626_at	4.31082
1416627_at	5.95114
1416628_at	9.21183
1416629_at	8.39367
1416630_at	11.7433
1416631_at	6.38238
1416632_at	9.71248
1416633_a_at	9.78004
1416634_at	8.29418
1416635_at	10.2497
1416636_at	11.0848
1416637_at	8.06983
1416638_at	5.57176
1416639_at	5.96092
1416640_at	3.66554
1416641_at	6.40078
1416642_a_at	13.9503
1416643_at	3.81056
1416644_a_at	5.05564
1416645_a_at	2.62095
1416646_at	4.02656
1416647_at	7.2953
1416648_at	9.24553
1416649_at	4.45093
1416650_at	3.07965
1416651_at	6.83497
1416652_at	8.94689
1416653_at	8.20872
1416654_at	7.57843
1416655_at	9.13612
1416656_at	9.51929
1416657_at	8.87751
1416658_at	10.3081
1416659_at	9.99749
1416660_at	7.82396
1416661_at	8.95341
1416662_at	6.67695
1416663_at	9.90061
1416664_at	6.32722
1416665_at	8.07003
1416666_at	12.0757
1416667_at	8.76927
1416668_at	10.0595
1416669_s_at	12.0337
1416670_at	3.64185
1416671_a_at	6.00849
1416672_s_at	6.51216
1416673_at	7.40976
1416674_at	6.71823
1416675_s_at	8.6651
1416676_at	3.1608
1416677_at	5.0886
1416678_at	9.36277
1416679_at	9.76856
1416680_at	9.33707
1416681_at	4.98718
1416682_at	6.02052
1416683_at	8.28845
1416684_at	8.27414
1416685_s_at	8.82917
1416686_at	10.2029
1416687_at	9.98314
1416688_at	4.5103
1416689_at	5.53679
1416690_at	7.85897
1416691_at	5.2333
1416692_at	7.09501
1416693_at	7.48108
1416694_at	2.68649
1416695_at	10.242
1416696_at	8.66652
1416697_at	5.32614
1416698_a_at	10.0482
1416699_at	10.3712
1416700_at	8.50784
1416701_at	5.42183
1416702_at	5.64904
1416703_at	9.31625
1416704_at	5.32592
1416705_at	7.6812
1416706_at	5.567
1416707_a_at	6.07209
1416708_a_at	7.19143
1416709_a_at	7.82889
1416710_at	4.66193
1416711_at	2.66599
1416712_at	8.1291
1416713_at	10.0805
1416714_at	6.93361
1416715_at	4.82842
1416716_at	7.68736
1416717_at	3.3493
1416718_at	4.31607
1416719_a_at	12.6517
1416720_at	7.87848
1416721_s_at	9.85317
1416722_at	8.40889
1416723_at	10.7204
1416724_x_at	10.7366
1416725_at	4.86221
1416726_s_at	10.0454
1416727_a_at	11.7364
1416728_at	9.56724
1416729_at	4.4372
1416730_at	6.77124
1416731_at	8.59653
1416732_at	4.997
1416733_at	8.42547
1416734_at	4.32784
1416735_at	9.69406
1416736_at	8.3135
1416737_at	6.283
1416738_at	7.57333
1416739_a_at	3.6827
1416740_at	9.99428
1416741_at	7.33556
1416742_at	9.4424
1416743_at	9.00289
1416744_at	3.2128
1416745_x_at	5.09898
1416746_at	7.46484
1416747_at	7.82034
1416748_a_at	5.19756
1416749_at	10.347
1416750_at	7.19878
1416751_a_at	6.9346
1416752_at	5.68037
1416753_at	6.92143
1416754_at	4.6303
1416755_at	9.87706
1416756_at	9.39621
1416757_at	4.71417
1416758_at	5.19926
1416759_at	7.86193
1416760_at	7.68804
1416761_at	5.04657
1416762_at	11.6548
1416763_at	8.87049
1416764_at	9.97265
1416765_s_at	9.33644
1416766_at	9.61414
1416767_a_at	10.5318
1416768_at	10.681
1416769_s_at	8.85094
